	Variable	Feature	Value	Coefficient	N	N.not.0	P.value	Q.value
69	studygroup	k__Bacteria_p__Firmicutes_c__Bacilli_o__Lactobacillales_f__Lactobacillaceae	studygrouplactob DR20	0.202916701686986	518	265	5.15354677460069e-05	0.00117937672655918
62	studygroup	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium_s__Bifidobacterium_animalis	studygroupplaceb	-0.283466620033677	518	100	1.92029463708152e-13	7.82869787143962e-12
63	studygroup	k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Bifidobacteriales_f__Bifidobacteriaceae_g__Bifidobacterium_s__Bifidobacterium_animalis_t__Bifidobacterium_animalis_unclassified	studygroupplaceb	-0.283466620033677	518	100	1.92029463708152e-13	7.82869787143962e-12
70	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Lachnospiraceae_noname	time	0.028903621301735	518	281	5.24892457576176e-85	1.61561898441947e-81
71	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Anaerostipes	time	0.0250536661621592	518	252	4.16896118932617e-75	6.41603127037297e-72
72	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Eubacteriaceae	time	0.0265280928378054	518	214	4.66905963739484e-74	4.79045518796711e-71
73	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Eubacteriaceae_g__Eubacterium	time	0.0265218980122305	518	214	1.36595411321664e-73	1.05110169012021e-70
74	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Faecalibacterium	time	0.0225929468589473	518	209	2.31473064609107e-67	1.18745682144472e-64
75	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Faecalibacterium_s__Faecalibacterium_prausnitzii	time	0.0225929468589473	518	209	2.31473064609107e-67	1.18745682144472e-64
76	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Ruminococcus	time	0.0208731541357429	518	175	3.92264782510407e-66	1.72484428652433e-63
77	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Faecalibacterium_s__Faecalibacterium_prausnitzii_t__Faecalibacterium_prausnitzii_unclassified	time	0.022529409047878	518	199	2.14959872597782e-64	8.27058109819966e-62
78	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Anaerostipes_s__Anaerostipes_hadrus	time	0.0130549265919246	518	176	1.50422817087493e-62	4.63001430995303e-60
79	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Anaerostipes_s__Anaerostipes_hadrus_t__GCF_000332875	time	0.0130549265919246	518	176	1.50422817087493e-62	4.63001430995303e-60
80	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Lachnospiraceae_noname_s__Lachnospiraceae_bacterium_5_1_63FAA	time	0.0235052528219121	518	189	3.03028897790162e-62	6.719827384128e-60
81	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Lachnospiraceae_noname_s__Lachnospiraceae_bacterium_5_1_63FAA_t__GCF_000185525	time	0.0235052528219121	518	189	3.03028897790162e-62	6.719827384128e-60
82	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Eubacteriaceae_g__Eubacterium_s__Eubacterium_hallii	time	0.0253508653617581	518	125	3.05645170168265e-62	6.719827384128e-60
83	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Eubacteriaceae_g__Eubacterium_s__Eubacterium_hallii_t__GCF_000173975	time	0.0253508653617581	518	125	3.05645170168265e-62	6.719827384128e-60
84	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Blautia_s__Ruminococcus_torques	time	0.0282464305994757	518	323	6.48385733793327e-62	1.33048752574391e-59
85	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptostreptococcaceae_g__Peptostreptococcaceae_noname	time	0.0248078723465863	518	300	1.15198661850613e-60	2.21613425735118e-58
86	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptostreptococcaceae	time	0.0246454025991319	518	306	1.77502399308851e-59	3.21383755925085e-57
87	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Blautia	time	0.0230618693686463	518	337	1.38099764288623e-58	2.36150596933546e-56
88	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptostreptococcaceae_g__Peptostreptococcaceae_noname_s__Clostridium_bartlettii	time	0.0235257673401179	518	278	6.51198579105979e-58	1.0021946132441e-55
89	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Peptostreptococcaceae_g__Peptostreptococcaceae_noname_s__Clostridium_bartlettii_t__GCF_000154445	time	0.0235257673401179	518	278	6.51198579105979e-58	1.0021946132441e-55
90	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Ruminococcaceae_g__Subdoligranulum_s__Subdoligranulum_unclassified	time	0.0247671023483495	518	275	7.06910070874314e-58	1.03612818959578e-55
91	time	k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Blautia_s__Ruminococcus_obeum_t__Ruminococcus_obeum_unclassified	time	0.016983636478018	518	204	8.51064502458629e-58	1.19071660843984e-55
